Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS
FSiS,A1 SH,ALEXANDER D,2887.5,88.71,0.612,6.7,10.605,,1,1.0
FSiS,A1 SH,ALEXANDER D,2888.0,92.71,0.583,11.0,12.515,,1,0.974
FSiS,A1 SH,ALEXANDER D,2888.5,94.54,0.579,12.0,13.41,,1,0.949
FSiS,A1 SH,ALEXANDER D,2889.0,95.31,0.579,11.5,13.75,,1,0.923
FSiS,A1 SH,ALEXANDER D,2889.5,93.79,0.572,10.3,13.405,,1,0.897
FSiS,A1 SH,ALEXANDER D,2890.0,86.0,0.547,9.7,12.92,,1,0.872
FSiS,A1 SH,ALEXANDER D,2890.5,83.66,0.531,9.9,12.75,,1,0.846
CSiS,A1 SH,ALEXANDER D,2891.0,84.96,0.516,10.0,12.71,,1,0.821
CSiS,A1 SH,ALEXANDER D,2891.5,88.93,0.515,9.4,13.51,,1,0.795
FSiS,A1 SH,ALEXANDER D,2892.0,91.35,0.521,7.4,15.33,,1,0.769
FSiS,A1 SH,ALEXANDER D,2892.5,92.43,0.521,7.4,16.65,,1,0.744
FSiS,A1 SH,ALEXANDER D,2893.0,92.39,0.526,7.6,16.89,,1,0.718
CSiS,A1 SH,ALEXANDER D,2893.5,91.94,0.526,4.6,16.31,,1,0.692
CSiS,A1 SH,ALEXANDER D,2894.0,88.21,0.525,2.9,15.33,,1,0.667
CSiS,A1 SH,ALEXANDER D,2894.5,83.2,0.524,1.9,14.215,,1,0.641
CSiS,A1 SH,ALEXANDER D,2895.0,78.23,0.513,3.0,13.495,,1,0.615
CSiS,A1 SH,ALEXANDER D,2895.5,74.22,0.5,5.0,11.365,,1,0.59
CSiS,A1 SH,ALEXANDER D,2896.0,72.36,0.48,6.6,10.045,,1,0.564
CSiS,A1 SH,ALEXANDER D,2896.5,72.84,0.465,7.2,9.62,,1,0.538
CSiS,A1 SH,ALEXANDER D,2897.0,74.19,0.455,8.0,9.64,,1,0.513
CSiS,A1 SH,ALEXANDER D,2897.5,76.62,0.449,8.8,10.5,,1,0.487
CSiS,A1 SH,ALEXANDER D,2898.0,81.29,0.449,9.2,12.785,,1,0.462
CSiS,A1 SH,ALEXANDER D,2898.5,85.5,0.461,9.9,13.55,,1,0.436
CSiS,A1 SH,ALEXANDER D,2899.0,88.29,0.476,10.3,13.985,,1,0.41
CSiS,A1 SH,ALEXANDER D,2899.5,91.3,0.484,9.7,13.965,,1,0.385
FSiS,A1 SH,ALEXANDER D,2900.0,82.0,0.49,8.3,13.335,,1,0.359
FSiS,A1 SH,ALEXANDER D,2900.5,71.62,0.49,7.5,12.88,,1,0.333
CSiS,A1 SH,ALEXANDER D,2901.0,67.4,0.483,7.2,12.685,,1,0.308
FSiS,A1 SH,ALEXANDER D,2901.5,65.4,0.476,7.5,12.325,,1,0.282
BS,A1 SH,ALEXANDER D,2902.0,64.21,0.471,10.2,10.935,,2,0.256
BS,A1 SH,ALEXANDER D,2902.5,63.82,0.467,11.2,10.655,,2,0.231
BS,A1 SH,ALEXANDER D,2903.0,64.74,0.458,15.1,12.705,,2,0.205
FSiS,A1 SH,ALEXANDER D,2904.0,81.89,0.42,16.3,19.14,,1,0.154
FSiS,A1 SH,ALEXANDER D,2904.5,83.53,0.371,14.9,19.16,,1,0.128
CSiS,A1 SH,ALEXANDER D,2905.0,83.06,0.316,14.8,19.5,,1,0.103
CSiS,A1 SH,ALEXANDER D,2905.5,81.58,0.279,15.7,19.945,,1,0.077
FSiS,A1 SH,ALEXANDER D,2906.0,77.83,0.272,17.3,19.285,,1,0.051
FSiS,A1 SH,ALEXANDER D,2906.5,65.11,0.279,15.2,17.42,,1,0.026
BS,A1 LM,ALEXANDER D,2907.0,32.58,0.29,10.3,14.52,,2,1.0
BS,A1 LM,ALEXANDER D,2907.5,25.14,0.294,7.1,12.48,,2,0.985
D,A1 LM,ALEXANDER D,2908.0,26.51,0.29,7.1,10.91,,2,0.969
D,A1 LM,ALEXANDER D,2908.5,29.78,0.265,8.1,9.05,,2,0.954
WS,A1 LM,ALEXANDER D,2909.0,33.06,0.248,8.6,8.275,,2,0.938
WS,A1 LM,ALEXANDER D,2910.0,37.78,0.22,9.2,8.05,,2,0.908
WS,A1 LM,ALEXANDER D,2910.5,40.84,0.212,14.8,10.76,,2,0.892
D,A1 LM,ALEXANDER D,2911.0,44.08,0.207,16.0,11.275,,2,0.877
D,A1 LM,ALEXANDER D,2911.5,48.24,0.21,9.8,14.97,,2,0.862
D,A1 LM,ALEXANDER D,2912.0,51.21,0.228,8.1,16.025,,2,0.846
D,A1 LM,ALEXANDER D,2912.5,55.57,0.253,7.9,15.985,,2,0.831
SiSh,A1 LM,ALEXANDER D,2913.0,64.21,0.299,7.4,15.785,,2,0.815
SiSh,A1 LM,ALEXANDER D,2913.5,78.65,0.398,8.2,13.805,,2,0.8
SiSh,A1 LM,ALEXANDER D,2914.0,97.66,0.52,9.7,12.34,,2,0.785
SiSh,A1 LM,ALEXANDER D,2914.5,101.57,0.636,10.1,12.02,,2,0.769
SiSh,A1 LM,ALEXANDER D,2915.0,102.02,0.679,9.4,11.33,,2,0.754
SiSh,A1 LM,ALEXANDER D,2915.5,100.87,0.658,7.6,10.135,,2,0.738
PS,A1 LM,ALEXANDER D,2916.0,88.36,0.646,7.0,9.58,,2,0.723
WS,A1 LM,ALEXANDER D,2916.5,73.88,0.635,5.2,10.145,,2,0.708
WS,A1 LM,ALEXANDER D,2917.0,62.49,0.635,4.2,10.515,,2,0.692
MS,A1 LM,ALEXANDER D,2917.5,61.08,0.641,4.5,10.465,,2,0.677
MS,A1 LM,ALEXANDER D,2918.0,64.32,0.66,6.7,10.575,,2,0.662
WS,A1 LM,ALEXANDER D,2918.5,66.04,0.671,9.1,11.38,,2,0.646
WS,A1 LM,ALEXANDER D,2919.0,66.61,0.691,10.8,12.17,,2,0.631
WS,A1 LM,ALEXANDER D,2919.5,66.14,0.713,11.6,12.41,,2,0.615
PS,A1 LM,ALEXANDER D,2920.0,68.24,0.735,10.0,11.64,,2,0.6
PS,A1 LM,ALEXANDER D,2920.5,70.81,0.752,5.9,10.36,,2,0.585
PS,A1 LM,ALEXANDER D,2921.0,72.59,0.757,3.7,10.405,,2,0.569
PS,A1 LM,ALEXANDER D,2921.5,77.22,0.769,2.5,10.465,,2,0.554
PS,A1 LM,ALEXANDER D,2922.0,101.82,0.762,1.8,10.6,,2,0.538
PS,A1 LM,ALEXANDER D,2922.5,115.43,0.756,1.0,10.755,,2,0.523
WS,A1 LM,ALEXANDER D,2923.0,119.82,0.725,0.5,10.775,,2,0.508
WS,A1 LM,ALEXANDER D,2923.5,120.82,0.675,0.6,10.315,,2,0.492
MS,A1 LM,ALEXANDER D,2924.0,118.48,0.619,1.8,9.51,,2,0.477
MS,A1 LM,ALEXANDER D,2924.5,89.64,0.571,2.4,9.555,,2,0.462
WS,A1 LM,ALEXANDER D,2925.0,60.79,0.53,3.3,9.86,,2,0.446
WS,A1 LM,ALEXANDER D,2925.5,33.46,0.501,4.3,10.16,,2,0.431
MS,A1 LM,ALEXANDER D,2926.0,27.41,0.483,5.0,10.62,,2,0.415
WS,A1 LM,ALEXANDER D,2926.5,24.14,0.471,5.3,11.3,,2,0.4
WS,A1 LM,ALEXANDER D,2927.0,24.6,0.458,5.8,12.115,,2,0.385
WS,A1 LM,ALEXANDER D,2927.5,24.58,0.455,4.0,13.465,,2,0.369
WS,A1 LM,ALEXANDER D,2928.0,23.59,0.47,2.8,14.2,,2,0.354
WS,A1 LM,ALEXANDER D,2928.5,23.16,0.513,1.8,14.145,,2,0.338
WS,A1 LM,ALEXANDER D,2929.0,23.61,0.555,1.0,13.805,,2,0.323
WS,A1 LM,ALEXANDER D,2929.5,24.99,0.604,0.3,13.48,,2,0.308
WS,A1 LM,ALEXANDER D,2930.0,26.45,0.635,0.9,12.775,,2,0.292
PS,A1 LM,ALEXANDER D,2930.5,28.39,0.661,1.7,12.095,,2,0.277
WS,A1 LM,ALEXANDER D,2931.0,31.6,0.679,2.1,11.665,,2,0.262
WS,A1 LM,ALEXANDER D,2931.5,35.71,0.696,2.3,11.39,,2,0.246
MS,A1 LM,ALEXANDER D,2932.0,41.34,0.702,2.8,11.395,,2,0.231
WS,A1 LM,ALEXANDER D,2932.5,46.73,0.708,4.4,11.895,,2,0.215
WS,A1 LM,ALEXANDER D,2933.0,54.15,0.72,5.6,11.94,,2,0.2
WS,A1 LM,ALEXANDER D,2933.5,60.63,0.739,9.2,10.59,,2,0.185
SiSh,A1 LM,ALEXANDER D,2934.0,65.2,0.774,11.3,11.15,,2,0.169
SiSh,A1 LM,ALEXANDER D,2934.5,72.19,0.803,12.1,11.505,,2,0.154
SiSh,A1 LM,ALEXANDER D,2935.0,78.39,0.825,11.7,11.98,,2,0.138
SiSh,A1 LM,ALEXANDER D,2935.5,82.48,0.836,9.7,12.595,,2,0.123
SiSh,A1 LM,ALEXANDER D,2936.0,83.8,0.811,7.6,13.18,,2,0.108
SiSh,A1 LM,ALEXANDER D,2936.5,84.86,0.78,6.8,13.15,,2,0.092
WS,A1 LM,ALEXANDER D,2937.0,84.28,0.755,7.4,11.64,,2,0.077
WS,A1 LM,ALEXANDER D,2937.5,78.32,0.739,4.3,9.2,,2,0.062
WS,A1 LM,ALEXANDER D,2938.0,70.15,0.727,4.1,8.565,,2,0.046
PS,A1 LM,ALEXANDER D,2938.5,66.53,0.721,3.4,8.37,,2,0.031
PS,A1 LM,ALEXANDER D,2939.0,69.31,0.717,6.4,10.21,,2,0.015
FSiS,B1 SH,ALEXANDER D,2939.5,78.58,0.717,8.4,12.53,,1,1.0
FSiS,B1 SH,ALEXANDER D,2940.0,81.81,0.717,8.6,15.21,,1,0.969
FSiS,B1 SH,ALEXANDER D,2940.5,82.02,0.716,4.5,15.43,,1,0.938
CSiS,B1 SH,ALEXANDER D,2941.0,75.3,0.722,4.9,13.615,,1,0.906
CSiS,B1 SH,ALEXANDER D,2941.5,66.45,0.722,6.8,12.37,,1,0.875
CSiS,B1 SH,ALEXANDER D,2942.0,63.91,0.722,7.4,11.865,,1,0.844
CSiS,B1 SH,ALEXANDER D,2942.5,64.11,0.721,7.9,11.92,,1,0.813
CSiS,B1 SH,ALEXANDER D,2943.0,66.41,0.721,9.0,12.185,,1,0.781
FSiS,B1 SH,ALEXANDER D,2943.5,72.43,0.721,9.9,12.38,,1,0.75
FSiS,B1 SH,ALEXANDER D,2944.0,75.89,0.714,9.6,12.83,,1,0.719
FSiS,B1 SH,ALEXANDER D,2944.5,79.81,0.708,8.2,13.335,,1,0.688
FSiS,B1 SH,ALEXANDER D,2945.0,81.22,0.702,7.2,12.765,,1,0.656
FSiS,B1 SH,ALEXANDER D,2945.5,80.73,0.689,7.2,12.065,,1,0.625
FSiS,B1 SH,ALEXANDER D,2946.0,80.21,0.679,7.3,11.605,,1,0.594
CSiS,B1 SH,ALEXANDER D,2946.5,79.31,0.667,7.5,11.49,,1,0.563
CSiS,B1 SH,ALEXANDER D,2947.0,77.91,0.655,7.2,11.755,,1,0.531
CSiS,B1 SH,ALEXANDER D,2947.5,75.57,0.641,6.6,11.25,,1,0.5
CSiS,B1 SH,ALEXANDER D,2948.0,72.63,0.625,5.8,10.46,,1,0.469
CSiS,B1 SH,ALEXANDER D,2948.5,69.14,0.607,5.6,10.285,,1,0.438
CSiS,B1 SH,ALEXANDER D,2949.0,65.21,0.589,4.7,10.23,,1,0.406
CSiS,B1 SH,ALEXANDER D,2949.5,60.86,0.571,4.0,10.185,,1,0.375
CSiS,B1 SH,ALEXANDER D,2950.0,57.85,0.551,4.7,9.525,,1,0.344
CSiS,B1 SH,ALEXANDER D,2950.5,59.87,0.531,5.0,9.17,,1,0.313
CSiS,B1 SH,ALEXANDER D,2951.0,63.55,0.512,7.2,9.93,,1,0.281
