Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS
FSiS,A1 SH,CHURCHMAN BIBLE,2917.5,63.5,0.705,4.916,12.174,3.162,1,1.0
FSiS,A1 SH,CHURCHMAN BIBLE,2918.0,80.875,0.709,7.514,13.286,2.932,1,0.95
FSiS,A1 SH,CHURCHMAN BIBLE,2918.5,87.813,0.7,7.785,13.212,2.953,1,0.9
FSiS,A1 SH,CHURCHMAN BIBLE,2919.0,86.75,0.685,7.547,13.547,3.42,1,0.85
FSiS,A1 SH,CHURCHMAN BIBLE,2919.5,79.438,0.669,5.912,12.252,3.324,1,0.8
CSiS,A1 SH,CHURCHMAN BIBLE,2920.0,77.5,0.658,4.537,11.332,3.324,1,0.75
CSiS,A1 SH,CHURCHMAN BIBLE,2920.5,72.75,0.658,3.974,11.114,3.127,1,0.7
CSiS,A1 SH,CHURCHMAN BIBLE,2921.0,76.563,0.671,4.98,14.746,2.818,1,0.65
CSiS,A1 SH,CHURCHMAN BIBLE,2921.5,79.625,0.686,4.552,18.202,2.684,1,0.6
SS,A1 SH,CHURCHMAN BIBLE,2922.0,74.25,0.687,3.621,17.961,2.557,1,0.55
SS,A1 SH,CHURCHMAN BIBLE,2922.5,71.0,0.679,1.003,14.769,2.787,1,0.5
SS,A1 SH,CHURCHMAN BIBLE,2923.0,67.438,0.66,0.746,11.998,2.795,1,0.45
SS,A1 SH,CHURCHMAN BIBLE,2923.5,70.0,0.643,1.838,10.809,2.635,1,0.4
SS,A1 SH,CHURCHMAN BIBLE,2924.0,66.438,0.644,2.744,11.025,2.621,1,0.35
SS,A1 SH,CHURCHMAN BIBLE,2924.5,67.25,0.652,2.922,11.776,2.59,1,0.3
SS,A1 SH,CHURCHMAN BIBLE,2925.0,71.563,0.661,3.286,12.485,2.9,1,0.25
SS,A1 SH,CHURCHMAN BIBLE,2925.5,70.125,0.68,5.487,13.312,3.063,1,0.2
FSiS,A1 SH,CHURCHMAN BIBLE,2926.0,69.25,0.734,4.784,13.527,3.01,1,0.1
FSiS,A1 SH,CHURCHMAN BIBLE,2926.5,65.625,0.77,1.439,10.182,3.277,1,0.05
PS,A1 LM,CHURCHMAN BIBLE,2927.0,53.125,0.826,1.122,4.835,4.008,2,1.0
PS,A1 LM,CHURCHMAN BIBLE,2927.5,40.25,0.873,-1.021,5.318,4.52,2,0.989
PS,A1 LM,CHURCHMAN BIBLE,2928.0,33.625,0.906,0.046,4.788,4.375,2,0.978
PS,A1 LM,CHURCHMAN BIBLE,2928.5,35.063,0.951,0.086,5.285,3.943,2,0.967
PS,A1 LM,CHURCHMAN BIBLE,2929.0,35.844,0.99,-0.207,5.676,3.58,2,0.957
PS,A1 LM,CHURCHMAN BIBLE,2929.5,39.594,1.003,-1.041,6.217,3.395,2,0.946
WS,A1 LM,CHURCHMAN BIBLE,2930.0,39.969,0.994,-1.57,6.599,3.467,2,0.935
WS,A1 LM,CHURCHMAN BIBLE,2930.5,40.688,0.984,-1.863,6.306,3.547,2,0.924
WS,A1 LM,CHURCHMAN BIBLE,2931.0,39.875,0.939,-1.698,5.214,3.799,2,0.913
WS,A1 LM,CHURCHMAN BIBLE,2931.5,46.813,0.857,-0.436,4.88,4.273,2,0.902
MS,A1 LM,CHURCHMAN BIBLE,2932.0,51.281,0.809,3.982,9.982,3.356,2,0.891
MS,A1 LM,CHURCHMAN BIBLE,2932.5,67.188,0.791,4.184,18.863,2.783,2,0.88
FSiS,A1 LM,CHURCHMAN BIBLE,2933.0,71.563,0.772,3.478,22.157,2.416,2,0.87
FSiS,A1 LM,CHURCHMAN BIBLE,2933.5,75.375,0.746,-0.136,20.595,2.496,2,0.859
SiSh,A1 LM,CHURCHMAN BIBLE,2934.0,75.813,0.733,1.94,19.935,2.969,2,0.848
FSiS,A1 LM,CHURCHMAN BIBLE,2934.5,79.375,0.73,2.966,20.96,2.967,2,0.837
FSiS,A1 LM,CHURCHMAN BIBLE,2935.0,79.438,0.734,1.488,19.02,3.406,2,0.826
PS,A1 LM,CHURCHMAN BIBLE,2935.5,64.438,0.762,-3.187,14.808,3.836,2,0.815
PS,A1 LM,CHURCHMAN BIBLE,2936.0,49.438,0.798,-2.171,11.595,4.863,2,0.804
PS,A1 LM,CHURCHMAN BIBLE,2936.5,41.031,0.817,0.0,9.082,4.516,2,0.793
PS,A1 LM,CHURCHMAN BIBLE,2937.0,40.906,0.836,1.127,7.466,4.168,2,0.783
PS,A1 LM,CHURCHMAN BIBLE,2937.5,43.156,0.865,1.022,7.133,3.955,2,0.772
PS,A1 LM,CHURCHMAN BIBLE,2938.0,51.344,0.843,1.299,6.953,3.928,2,0.761
PS,A1 LM,CHURCHMAN BIBLE,2938.5,56.75,0.78,1.37,7.37,3.953,2,0.75
PS,A1 LM,CHURCHMAN BIBLE,2939.0,65.5,0.722,2.225,8.225,3.93,2,0.739
PS,A1 LM,CHURCHMAN BIBLE,2939.5,74.813,0.661,3.038,9.266,3.586,2,0.728
WS,A1 LM,CHURCHMAN BIBLE,2940.0,92.188,0.613,4.283,10.511,3.299,2,0.717
WS,A1 LM,CHURCHMAN BIBLE,2940.5,104.063,0.59,4.306,12.247,3.088,2,0.707
WS,A1 LM,CHURCHMAN BIBLE,2941.0,103.563,0.58,3.915,12.54,3.211,2,0.696
WS,A1 LM,CHURCHMAN BIBLE,2941.5,99.188,0.573,3.866,13.175,3.232,2,0.685
WS,A1 LM,CHURCHMAN BIBLE,2942.0,90.375,0.595,6.423,13.792,2.979,2,0.663
WS,A1 LM,CHURCHMAN BIBLE,2942.5,82.063,0.625,6.823,12.367,3.094,2,0.652
SiSh,A1 LM,CHURCHMAN BIBLE,2943.0,79.375,0.677,5.522,10.493,3.104,2,0.641
SiSh,A1 LM,CHURCHMAN BIBLE,2943.5,76.313,0.739,4.471,10.471,3.254,2,0.63
SiSh,A1 LM,CHURCHMAN BIBLE,2944.0,80.063,0.799,4.584,11.041,3.326,2,0.62
SiSh,A1 LM,CHURCHMAN BIBLE,2944.5,76.063,0.865,4.273,11.303,3.393,2,0.609
SiSh,A1 LM,CHURCHMAN BIBLE,2945.0,65.25,0.923,2.835,9.519,3.52,2,0.598
WS,A1 LM,CHURCHMAN BIBLE,2945.5,44.719,0.95,0.156,7.413,3.178,2,0.587
WS,A1 LM,CHURCHMAN BIBLE,2946.0,36.531,0.955,-0.398,7.087,3.221,2,0.576
WS,A1 LM,CHURCHMAN BIBLE,2946.5,34.656,0.956,0.531,7.672,3.186,2,0.565
WS,A1 LM,CHURCHMAN BIBLE,2947.0,45.281,0.951,2.584,9.379,3.412,2,0.554
WS,A1 LM,CHURCHMAN BIBLE,2947.5,50.063,0.951,4.121,9.893,3.484,2,0.543
WS,A1 LM,CHURCHMAN BIBLE,2948.0,54.719,0.944,6.222,10.965,3.441,2,0.533
MS,A1 LM,CHURCHMAN BIBLE,2948.5,58.5,0.935,6.938,11.909,3.547,2,0.522
MS,A1 LM,CHURCHMAN BIBLE,2949.0,59.563,0.93,6.411,10.581,3.459,2,0.511
MS,A1 LM,CHURCHMAN BIBLE,2949.5,58.281,0.918,3.905,8.302,3.83,2,0.5
WS,A1 LM,CHURCHMAN BIBLE,2950.0,47.875,0.925,1.999,6.058,4.281,2,0.489
WS,A1 LM,CHURCHMAN BIBLE,2950.5,44.156,0.937,0.353,6.581,4.652,2,0.478
WS,A1 LM,CHURCHMAN BIBLE,2951.0,38.875,0.959,-0.667,6.819,4.5,2,0.467
WS,A1 LM,CHURCHMAN BIBLE,2951.5,39.938,1.004,-1.114,6.827,4.105,2,0.457
PS,A1 LM,CHURCHMAN BIBLE,2952.0,40.25,1.034,-0.248,6.547,4.094,2,0.446
PS,A1 LM,CHURCHMAN BIBLE,2952.5,44.219,1.038,1.152,6.123,3.902,2,0.435
WS,A1 LM,CHURCHMAN BIBLE,2953.0,40.563,1.046,1.634,6.032,4.133,2,0.424
WS,A1 LM,CHURCHMAN BIBLE,2953.5,37.125,1.056,0.981,5.952,3.83,2,0.413
PS,A1 LM,CHURCHMAN BIBLE,2954.0,33.594,1.063,-0.388,6.296,4.109,2,0.402
WS,A1 LM,CHURCHMAN BIBLE,2954.5,43.406,1.086,-0.85,5.489,4.129,2,0.391
WS,A1 LM,CHURCHMAN BIBLE,2955.0,43.594,1.111,-0.819,4.725,4.742,2,0.38
WS,A1 LM,CHURCHMAN BIBLE,2955.5,45.563,1.129,0.39,3.419,4.965,2,0.37
WS,A1 LM,CHURCHMAN BIBLE,2956.0,43.969,1.145,0.772,3.573,4.68,2,0.359
WS,A1 LM,CHURCHMAN BIBLE,2956.5,47.719,1.157,1.099,3.784,4.727,2,0.348
WS,A1 LM,CHURCHMAN BIBLE,2957.0,46.125,1.162,1.351,4.264,4.629,2,0.337
WS,A1 LM,CHURCHMAN BIBLE,2957.5,43.219,1.157,1.633,5.007,5.086,2,0.326
WS,A1 LM,CHURCHMAN BIBLE,2958.0,38.313,1.135,1.665,5.952,4.77,2,0.315
WS,A1 LM,CHURCHMAN BIBLE,2958.5,40.0,1.116,0.98,6.979,4.633,2,0.304
WS,A1 LM,CHURCHMAN BIBLE,2959.0,36.656,1.083,0.147,7.177,3.898,2,0.293
WS,A1 LM,CHURCHMAN BIBLE,2959.5,39.063,1.041,0.221,7.25,3.896,2,0.283
WS,A1 LM,CHURCHMAN BIBLE,2960.0,39.063,1.041,0.221,7.25,3.896,2,0.283
WS,A1 LM,CHURCHMAN BIBLE,2960.5,38.375,1.009,0.654,7.11,3.74,2,0.272
WS,A1 LM,CHURCHMAN BIBLE,2961.0,41.75,0.974,1.476,7.704,4.211,2,0.261
WS,A1 LM,CHURCHMAN BIBLE,2961.5,43.844,0.933,2.566,8.566,3.881,2,0.25
WS,A1 LM,CHURCHMAN BIBLE,2962.0,47.469,0.904,2.843,9.755,3.539,2,0.239
WS,A1 LM,CHURCHMAN BIBLE,2962.5,48.469,0.877,3.6,10.512,3.221,2,0.228
WS,A1 LM,CHURCHMAN BIBLE,2963.0,45.875,0.845,4.357,10.585,3.172,2,0.217
