Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS
CSiS,A1 SH,CROSS H CATTLE,2573.5,118.439,0.674493717,6.3,9.95,3.631,1,1.0
CSiS,A1 SH,CROSS H CATTLE,2574.0,92.55,0.645225712,9.9,13.05,3.45,1,0.987
CSiS,A1 SH,CROSS H CATTLE,2574.5,102.168,0.630020851,12.0,14.5,3.364,1,0.974
CSiS,A1 SH,CROSS H CATTLE,2575.0,88.898,0.60031933,15.1,16.05,3.187,1,0.961
CSiS,A1 SH,CROSS H CATTLE,2575.5,85.493,0.57863921,13.6,15.9,3.099,1,0.947
CSiS,A1 SH,CROSS H CATTLE,2576.0,82.802,0.569958818,13.0,14.9,3.069,1,0.934
CSiS,A1 SH,CROSS H CATTLE,2576.5,84.257,0.576456532,12.7,14.35,3.077,1,0.921
CSiS,A1 SH,CROSS H CATTLE,2577.0,85.349,0.592731766,12.8,14.7,3.101,1,0.908
CSiS,A1 SH,CROSS H CATTLE,2577.5,84.317,0.610660163,13.5,15.15,3.078,1,0.895
CSiS,A1 SH,CROSS H CATTLE,2578.0,83.495,0.623766,13.4,15.1,3.062,1,0.882
CSiS,A1 SH,CROSS H CATTLE,2578.5,83.696,0.630427875,12.7,14.75,3.074,1,0.868
CSiS,A1 SH,CROSS H CATTLE,2579.0,82.766,0.631342286,12.6,14.4,3.114,1,0.855
CSiS,A1 SH,CROSS H CATTLE,2579.5,85.311,0.629817196,12.3,13.95,3.133,1,0.842
CSiS,A1 SH,CROSS H CATTLE,2580.0,87.297,0.627365857,12.1,13.65,3.136,1,0.829
CSiS,A1 SH,CROSS H CATTLE,2580.5,85.494,0.622317661,11.6,13.3,3.173,1,0.816
CSiS,A1 SH,CROSS H CATTLE,2581.0,82.907,0.613841822,11.3,13.05,3.179,1,0.803
CSiS,A1 SH,CROSS H CATTLE,2581.5,84.398,0.602819342,10.3,12.75,3.121,1,0.789
CSiS,A1 SH,CROSS H CATTLE,2582.0,81.723,0.592176757,9.2,12.6,3.077,1,0.776
CSiS,A1 SH,CROSS H CATTLE,2582.5,83.501,0.583538819,8.0,12.3,3.058,1,0.763
CSiS,A1 SH,CROSS H CATTLE,2583.0,88.667,0.575072326,7.6,12.3,3.067,1,0.75
CSiS,A1 SH,CROSS H CATTLE,2583.5,93.129,0.562887381,8.0,12.8,3.105,1,0.737
CSiS,A1 SH,CROSS H CATTLE,2584.0,90.255,0.542202782,8.8,13.4,3.127,1,0.724
CSiS,A1 SH,CROSS H CATTLE,2584.5,87.152,0.510276844,9.6,13.8,3.154,1,0.711
